date,hour,text,source,username,hashtags
2019-06-25,"23:17:56","RT @guilherme_amado: Requerimento de deputado quer que ministro explique ausência em comissões da Câmara https://t.co/Ri7EX3GSHf #sergiomor…","Twitter for iPhone","RevistaEpoca",""
2019-06-25,"23:17:10","RT @guilherme_amado: Hoje à meia-noite do Brasil, 11pm em Washington, será publicada a nova investigação global do @ICIJorg, da qual a @Rev…","Twitter for iPhone","RevistaEpoca",""
2019-06-25,"17:01:48","RT @guilherme_amado: Músico foi morto em ação do Exército no Rio de Janeiro. https://t.co/MfFPJprQ3o #Exército #RiodeJaneiro #JustiçaMilitar","TweetDeck","RevistaEpoca","Exército"
